Year,Lat,Lon,Sirex_Presence
2013,-26.654381,30.701623,No Sirex
2013,-26.697033,30.782287,No Sirex
2013,-26.71379,30.61416,No Sirex
2013,-26.733557,30.616396,No Sirex
2013,-26.756956,30.519852,No Sirex
2013,-26.745029,30.52443,No Sirex
2013,-26.904432,30.546322,No Sirex
2013,-26.926505,30.58412,No Sirex
2013,-26.982249,30.626092,No Sirex
2013,-27.211224,30.832571,No Sirex
2013,-27.070102,30.692286,No Sirex
2013,-27.088792,30.849157,No Sirex
2013,-26.70963,30.717172,No Sirex
2013,-25.226607,30.77266,No Sirex
2013,-27.349422,30.650309,No Sirex
2013,-27.648949,30.685082,No Sirex
2013,-27.551381,30.482148,No Sirex
2013,-27.71173,30.720582,No Sirex
2013,-27.498845,30.673108,No Sirex
2013,-27.639141,30.699373,No Sirex
2013,-27.393173,30.799289,No Sirex
2013,-27.378132,30.90041,No Sirex
2013,-28.597563,31.264288,No Sirex
2013,-28.466954,31.397372,No Sirex
2013,-28.443896,31.383754,No Sirex
2013,-28.93416,30.68562,No Sirex
2013,-29.0115,30.62577,No Sirex
2013,-28.99499,30.64326,No Sirex
2013,-29.24532,30.6548,No Sirex
2013,-29.75081,30.18554,No Sirex
2013,-29.05082,30.68552,No Sirex
2013,-29.63516,29.98259,No Sirex
2013,-29.18679,29.74639,No Sirex
2013,-29.18215,29.69929,No Sirex
2013,-29.23416,30.31866,No Sirex
2013,-29.2695,30.30316,No Sirex
2013,-29.23095,30.42991,No Sirex
2013,-29.23503,30.27507,No Sirex
2013,-29.24373,30.33541,No Sirex
2013,-29.24682,30.27581,No Sirex
2013,-29.24867,30.5564,No Sirex
2013,-29.56667,30.10365,No Sirex
2013,-29.24303,30.28776,No Sirex
2013,-29.26783,30.32191,No Sirex
2013,-29.6384,29.98901,No Sirex
2013,-29.65845,29.92581,No Sirex
2013,-29.24187,30.23468,No Sirex
2013,-29.03939,30.80613,No Sirex
2013,-30.14876,29.88237,No Sirex
2013,-29.11974,30.51625,No Sirex
2013,-29.32509,30.08599,No Sirex
2013,-29.32708,30.20479,No Sirex
2013,-29.36118,30.19948,No Sirex
2013,-29.34057,30.17003,No Sirex
2013,-29.32262,30.15192,No Sirex
2013,-29.36846,30.10522,No Sirex
2013,-29.5572,29.97635,No Sirex
2013,-29.55954,30.02204,No Sirex
2013,-9.36513,30.19947,No Sirex
2013,-29.5525,29.52676,No Sirex
2013,-29.5691,30.07459,No Sirex
2013,-29.56399,30.07473,No Sirex
2013,-29.74468,30.20426,No Sirex
2013,-29.644,29.58944,No Sirex
2013,-29.7598,29.73435,No Sirex
2013,-29.75176,29.77421,No Sirex
2013,-29.74847,29.76877,No Sirex
2013,-29.83644,29.77196,No Sirex
2013,-29.8164,29.42506,No Sirex
2013,-30.57386,29.61134,No Sirex
2013,-29.82451,29.4418,No Sirex
2013,-29.84682,29.77798,No Sirex
2013,-29.84609,29.94239,No Sirex
2013,-29.86629,29.76035,No Sirex
2013,-29.85654,29.92998,No Sirex
2013,-29.85856,29.45335,No Sirex
2013,-29.8513,29.7634,No Sirex
2013,-29.86654,29.91853,No Sirex
2013,-29.93719,29.380677,No Sirex
2013,-29.8961,29.56038,No Sirex
2013,-30.01978,29.77029,No Sirex
2013,-9.876999,29.74688,No Sirex
2013,-29.94941,29.42712,No Sirex
2013,-29.89091,29.93286,No Sirex
2013,-29.91087,29.81907,No Sirex
2013,-29.56674,30.10371,No Sirex
2013,-29.96314,29.7755,No Sirex
2013,-9.936243,29.75661,No Sirex
2013,-29.95421,29.90765,No Sirex
2013,-9.956714,29.82991,No Sirex
2013,-29.93053,29.75699,No Sirex
2013,-29.95919,29.76051,No Sirex
2013,-29.95303,29.77831,No Sirex
2013,-29.98271,29.80003,No Sirex
2013,-29.99897,29.78883,No Sirex
2013,-30.00724,29.77114,No Sirex
2013,-33.944938,22.110035,No Sirex
2013,-30.26526,29.61106,No Sirex
2013,-33.908524,22.687019,No Sirex
2013,-30.55593,29.66272,No Sirex
2013,-30.57742,29.6642,No Sirex
2013,-30.59329,29.71995,No Sirex
2013,-30.62406,29.69279,No Sirex
2013,-30.61363,29.66261,No Sirex
2013,-30.63481,29.69079,No Sirex
2013,-30.67023,29.66132,No Sirex
2013,-30.80467,29.28396,No Sirex
2013,-30.0506,28.20951,No Sirex
2013,-30.96297,28.40583,No Sirex
