Id,x_m,y_m
759,2146610.847,-3833524.329
760,2148466.172,-3890880.357
761,2154032.147,-3879828.633
762,2163308.771,-3890880.357
763,2165164.096,-3884248.074
764,2165164.096,-3888669.179
765,2467582.046,-3895303.963
766,2814527.792,-3855551.347
767,2812672.468,-3857756.308
768,2812672.468,-3859961.679
769,2820093.766,-3837926.456
770,2820093.766,-3853346.797
771,2829370.391,-3884248.074
772,2831225.715,-3848938.934
773,2833081.041,-3837926.456
774,2833081.041,-3846735.618
775,2838647.015,-3870994.737
776,2842357.665,-3844532.713
777,2846068.315,-3833524.329
778,2847923.639,-3857756.308
779,2847923.639,-3859961.679
780,2851634.29,-3886458.417
781,2853489.614,-3840128.131
782,2853489.614,-3855551.347
783,2855344.939,-3888669.179
784,2864621.563,-3842330.217
785,2872042.862,-3866580.273
786,2873898.188,-3862167.465
787,2881319.486,-3848938.934
788,2899872.735,-3853346.797
789,2903583.384,-3853346.797
790,2912860.009,-3877619.537
791,2914715.334,-3848938.934
792,2925847.283,-3851142.661
793,2927702.608,-3855551.347
794,2935123.908,-3831323.88
795,2938834.557,-3870994.737
796,2935123.908,-3879828.633
797,2948111.181,-3895303.963
798,2949966.506,-3853346.797
799,2951821.831,-3886458.417
800,2949966.506,-3895303.963
801,2953677.155,-3831323.88
802,2953677.155,-3851142.661
803,2959243.13,-3859961.679
804,2961098.455,-3835725.188
805,2964809.104,-3840128.131
806,2964809.104,-3864373.663
807,2964809.104,-3866580.273
808,2968519.755,-3831323.88
809,2970375.079,-3833524.329
810,2968519.755,-3848938.934
811,2968519.755,-3888669.179
812,2968519.755,-3844532.713
813,2979651.704,-3833524.329
814,2979651.704,-3875410.855
815,2979651.704,-3842330.217
816,2987073.003,-3866580.273
817,2988928.328,-3866580.273
818,2990783.653,-3835725.188
819,2994494.302,-3848938.934
820,2998204.952,-3840128.131
821,3005626.251,-3870994.737
822,3003770.926,-3873202.588
823,3005626.251,-3833524.329
824,3005626.251,-3851142.661
825,3005626.251,-3873202.588
826,3013047.551,-3859961.679
827,3014902.875,-3877619.537
828,3020468.85,-3837926.456
829,3024179.5,-3882038.146
830,3022324.175,-3853346.797
831,3024179.5,-3873202.588
832,3024179.5,-3864373.663
833,3027890.15,-3870994.737
834,3029745.475,-3873202.588
835,3029745.475,-3882038.146
836,3031600.799,-3844532.713
837,3033456.124,-3857756.308
838,3039022.099,-3840128.131
839,3037166.773,-3851142.661
840,3037166.773,-3882038.146
841,3018613.526,-3844532.713
842,3039022.099,-3846735.618
843,3039022.099,-3857756.308
844,3039022.099,-3862167.465
845,3039022.099,-3859961.679
846,3039022.099,-3866580.273
847,3040877.424,-3853346.797
848,3046443.398,-3833524.329
849,3046443.398,-3840128.131
850,3046443.398,-3866580.273
851,3048298.723,-3879828.633
852,3050154.048,-3877619.537
853,3052009.373,-3831323.88
854,3052009.373,-3853346.797
855,3053864.697,-3837926.456
856,3055720.022,-3833524.329
857,3057575.347,-3895303.963
858,3057575.347,-3831323.88
859,3057575.347,-3840128.131
860,3057575.347,-3859961.679
861,3057575.347,-3857756.308
862,3059430.672,-3895303.963
863,3061285.997,-3890880.357
864,3064996.646,-3851142.661
865,3064996.646,-3877619.537
866,3064996.646,-3855551.347
867,3068707.297,-3840128.131
868,3064996.646,-3846735.618
869,3070562.621,-3879828.633
870,3074273.271,-3835725.188
871,3074273.271,-3870994.737
872,3079839.246,-3831323.88
873,3083549.895,-3884248.074
874,3089115.87,-3829123.837
875,3090971.195,-3846735.618
876,3096537.169,-3842330.217
877,3096537.169,-3893091.951
878,3098392.493,-3857756.308
879,3100247.819,-3893091.951
880,3102103.144,-3884248.074
881,3105813.793,-3840128.131
882,3105813.793,-3890880.357
883,3107669.118,-3893091.951
884,3105813.793,-3893091.951
885,3107669.118,-3895303.963
886,3113235.093,-3877619.537
887,3116945.742,-3886458.417
888,3116945.742,-3842330.217
889,3118801.067,-3859961.679
890,3120656.392,-3857756.308
891,3131788.341,-3846735.618
892,3133643.666,-3851142.661
893,3131788.341,-3859961.679
894,3135498.991,-3835725.188
895,3135498.991,-3857756.308
896,3144775.615,-3862167.465
897,3144775.615,-3864373.663
898,3146630.94,-3848938.934
899,3157762.889,-3853346.797
900,3165184.188,-3846735.618
901,2070542.529,-3829123.837
902,2094661.752,-3802755.032
903,2096517.076,-3802755.032
904,2100227.727,-3789592.462
905,2103938.376,-3787400.107
906,2103938.376,-3829123.837
907,2115070.325,-3780825.452
908,2120636.3,-3769875.695
909,2120636.3,-3813734.937
910,2126202.274,-3789592.462
911,2137334.223,-3783016.604
912,2139189.548,-3800560.263
913,2150321.498,-3826924.202
914,2829370.391,-3829123.837
915,2827515.066,-3829123.837
916,2833081.041,-3820327.741
917,2840502.34,-3824724.976
918,2909149.359,-3785208.156
919,2909149.359,-3804950.205
920,2914715.334,-3787400.107
921,2918425.984,-3804950.205
922,2920281.308,-3783016.604
923,2920281.308,-3818129.735
924,2923991.959,-3787400.107
925,2925847.283,-3789592.462
926,2925847.283,-3798365.898
927,2929557.933,-3802755.032
928,2931413.257,-3818129.735
929,2933268.582,-3802755.032
